date,number_of_tests,number_of_positives,percent_positive,rolling_avg
3/23/2020,955,77,0.08063,
3/24/2020,1120,84,0.07500,
3/25/2020,3341,402,0.12032,
3/26/2020,1820,206,0.11319,
3/27/2020,3075,348,0.11317,
3/28/2020,1308,177,0.13532,
3/29/2020,1585,243,0.15331,11.30
3/30/2020,2054,324,0.15774,12.40
3/31/2020,2945,495,0.16808,13.73
4/1/2020,2536,450,0.17744,14.55
4/2/2020,3036,558,0.18379,15.56
4/3/2020,2629,461,0.17535,16.44
4/4/2020,3401,619,0.18201,17.11
4/5/2020,2633,626,0.23775,18.32
4/6/2020,1404,306,0.21795,19.18
4/7/2020,7936,1600,0.20161,19.66
4/8/2020,3155,684,0.21680,20.22
4/9/2020,3924,935,0.23828,21.00
4/10/2020,3632,874,0.24064,21.93
4/11/2020,2175,535,0.24598,22.84
4/12/2020,3804,967,0.25421,23.08
4/13/2020,1583,428,0.27037,23.83
4/14/2020,2406,708,0.29426,25.15
4/15/2020,3578,1059,0.29598,26.28
4/16/2020,3439,909,0.26432,26.65
4/17/2020,3776,980,0.25953,26.92
4/18/2020,2739,614,0.22417,26.61
4/19/2020,3952,1080,0.27328,26.88
4/20/2020,2188,544,0.24863,26.57
4/21/2020,3298,761,0.23075,25.67
4/22/2020,3906,1107,0.28341,25.49
4/23/2020,4870,1106,0.22710,24.96
4/24/2020,4486,1126,0.25100,24.83
4/25/2020,4288,957,0.22318,24.82
4/26/2020,4033,1054,0.26134,24.65
4/27/2020,2827,655,0.23169,24.41
4/28/2020,3055,782,0.25597,24.77
4/29/2020,5433,1357,0.24977,24.29
4/30/2020,5278,1279,0.24233,24.50
5/1/2020,5128,1166,0.22738,24.17
5/2/2020,4636,1073,0.23145,24.28
5/3/2020,5617,1129,0.20100,23.42
5/4/2020,3143,699,0.22240,23.29
5/5/2020,4537,1166,0.25700,23.30
5/6/2020,6357,1396,0.21960,22.87
5/7/2020,5048,1182,0.23415,22.76
5/8/2020,6049,1324,0.21888,22.64
5/9/2020,7340,1372,0.18692,22.00
5/10/2020,7930,995,0.12547,20.92
5/11/2020,3754,808,0.21524,20.82
5/12/2020,5425,794,0.14636,19.24
5/13/2020,6028,1054,0.17485,18.60
5/14/2020,7267,1304,0.17944,17.82
5/15/2020,7598,1175,0.15465,16.90
5/16/2020,6335,942,0.14870,16.35
5/17/2020,6706,876,0.13063,16.43
5/18/2020,5757,855,0.14851,15.47
5/19/2020,7535,910,0.12077,15.11
5/20/2020,9592,1432,0.14929,14.74
5/21/2020,6462,890,0.13773,14.15
5/22/2020,8715,1191,0.13666,13.89
5/23/2020,6731,959,0.14248,13.80
5/24/2020,10831,973,0.08983,13.22
5/25/2020,6126,633,0.10333,12.57
5/26/2020,10556,2047,0.19392,13.62
